gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5499861067,win,Ranked Solo,2021-10-10 19:37:33,35m 7s,6,9,10,1.78:1,empty,empty,Qiyana,Master,empty,Kled,Katchy22,Rengar,hubi v9,Twisted Fate,coza,Lucian,Chad Movement,Janna,nigelf32,Singed,WHEELCHAIRWIZARD,Qiyana,Icelandwinter,Tristana,LΣVl,Miss Fortune,2021Worlds0076,Amumu,LM07
5498047100,win,Ranked Solo,2021-10-09 19:47:53,17m 34s,9,1,9,18.00:1,Double Kill,empty,Graves,Grandmaster,empty,Kennen,me like solobolo,Graves,Icelandwinter,Zed,Po Gap,Jhin,Slyv3r,Pyke,BJK Lekcyc,Karma,lövhögen,Hecarim,Keule183,Aatrox,lucky iceland ,Lucian,Beanovich,Nami,schifosoemerdoso
5497801334,lose,Ranked Solo,2021-10-09 08:38:11,24m 8s,0,11,4,0.36:1,empty,empty,Yone,Grandmaster,empty,Graves,Stargazer7,Kha'Zix,ifollowthebeat,Vladimir,stella2231,Miss Fortune,Patrik23,Morgana,Prosfair,Camille,masked gamer XD,Nidalee,Sunflοwer,Yone,Icelandwinter,Lucian,League Enjoyer 1,Rakan,very noob xd
5497687863,lose,Ranked Solo,2021-10-09 08:06:34,23m 40s,7,4,4,2.75:1,Double Kill,ACE,Qiyana,Grandmaster,empty,Lee Sin,Stargazer7,Zed,slowqq,Sylas,nukëduck,Lucian,msfvetheo1,Lulu,Roulette,Camille,Decay0,Qiyana,Icelandwinter,Tryndamere,Chemera,Tristana,Vallentino Rossi,Yuumi,0KAY GEHTS NOCH
5497631248,lose,Ranked Solo,2021-10-09 07:25:54,36m 21s,5,7,15,2.86:1,empty,empty,Yasuo,Grandmaster,empty,Graves,slapbooty453,Ekko,Roulette,Yasuo,Icelandwinter,Karthus,Patrik23,Galio,refocus mental,Teemo,Alan234,Lillia,slowqq,Irelia,ifollowthebeat,Draven,Kite Machine,Leona,Aesenar
5497602277,lose,Ranked Solo,2021-10-09 06:29:22,28m 33s,11,10,10,2.10:1,Double Kill,empty,Taliyah,Master,empty,Renekton,bomb in bojler,Evelynn,20001111,Irelia,MosholderDolo,Xayah,NF Change,Rakan,pewpawpewpew,Malphite,aléc,Taliyah,Icelandwinter,Tryndamere,Viikingr,Miss Fortune,ManoloGap ad acc,Karma,TTW zoiren
5496384415,lose,Ranked Solo,2021-10-08 19:49:41,19m 37s,5,2,4,4.50:1,ACE,empty,Jarvan IV,Grandmaster,empty,Wukong,me like solobolo,Jarvan IV,Icelandwinter,Katarina,TwTv Ronges1,Lucian,Kaor1,Yuumi,Heimskáut réfur,Jayce,Thel1ttletiger,Qiyana,Gilius1,Sylas,Po Gap,Ashe,Beanovich,Poppy,Dry Flower
5496363045,win,Ranked Solo,2021-10-08 19:25:00,15m 45s,3,2,10,6.50:1,empty,empty,Jarvan IV,Grandmaster,empty,Camille,AST MagiFelix,Jarvan IV,Icelandwinter,Gragas,Stargazer7,Draven,Cóbb,Thresh,ifollowthebeat,Fiora,Xhen Doo,Lee Sin,Expecto Patrounm,Katarina,TwTv Ronges1,Ezreal,SAUCE WALKA,Morgana,enjawve
5496124210,win,Ranked Solo,2021-10-08 08:14:52,25m 4s,14,6,7,3.50:1,Double Kill,empty,Lucian,Grandmaster,empty,Fiora,lennylennylenny,Qiyana,MID444444,Sylas,FNC Nisqybaba,Ezreal,HoIyPhoenîx,Rell,FGG,Tryndamere,Kimchi3,Viego,for her sake,Gragas,im car,Lucian,Icelandwinter,Amumu,Veignorennn
5496091293,lose,Ranked Solo,2021-10-08 07:41:46,22m 25s,1,11,6,0.64:1,empty,empty,Sylas,Master,empty,Kennen,Quinncidence v2,Zed,missing it,Zoe,Kimchi3,Ezreal,HoIyPhoenîx,Amumu,Veignorennn,Graves,JBL ABUSER,Kha'Zix,Edgy213721372137,Sylas,Icelandwinter,Vayne,Robính00D,Rell,FGG
