gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490085559,win,Ranked Solo,2021-10-04 04:32:14,33m 8s,1,4,14,3.75:1,empty,empty,Nami,Grandmaster,empty,Kayn,tiltproof acc XD,Kha'Zix,TwTv Ronges1,Orianna,fastFF,Caitlyn,Ruined Crazyadri,Nami,Aegis fangirlQAQ,Riven,Hnry32,Zed,TwTv iljimaeLoL,Ryze,phlaty,Kog'Maw,avarice61,Xerath,židovskej cigan
5489938778,win,Ranked Solo,2021-10-04 03:34:07,20m 13s,4,0,8,Perfect,empty,empty,Nami,Grandmaster,empty,Gnar,NOV4 FreeParking,Rumble,chovy jg acc,Yone,BROHAN AND SEKKI,Seraphine,DUMBOKILLER88,Janna,Celterr1,Kennen,Shroom DeaIer,Lee Sin,Saulius 10,Sylas,B99 PERALTHAR,Jhin,Arktoso,Nami,Aegis fangirlQAQ
5489281077,lose,Ranked Solo,2021-10-03 23:00:10,29m 58s,1,6,11,2.00:1,empty,empty,Nami,Grandmaster,empty,Kled,Katchy22,Zed,TwTv iljimaeLoL,Talon,jiaVX PaoPaoPW,Ziggs,the super noob,Amumu,TESLA OPTIMUS,Irelia,hοt girl bummer,Xin Zhao,NiuNai,Twisted Fate,Sebeks,Lucian,x4T7,Nami,Aegis fangirlQAQ
5487249229,win,Ranked Solo,2021-10-02 10:09:41,26m 59s,1,4,21,5.50:1,MVP,empty,Amumu,Grandmaster,empty,Cassiopeia,Crowno,Shen,Raiden Shogun C2,Tryndamere,Tu po zi wo,Draven,pipey,Amumu,Aegis fangirlQAQ,Darius,WAO RANK 1 ,Talon,Aurora time,Twisted Fate,Mοrdred,Ziggs,Kaor1,Braum,lolNash
5487275796,win,Ranked Solo,2021-10-02 09:30:53,29m 8s,6,5,43,9.80:1,MVP,empty,Nami,Grandmaster,empty,Gwen,Crowno,Graves,Tu po zi wo,Ryze,Goldguns88,Miss Fortune,Seelame,Amumu,Hantera1,Sylas,Oggman,Qiyana,Expecto Patrounm,Yone,EllamCompany,Lucian,Emtest,Nami,Aegis fangirlQAQ
5487263089,lose,Ranked Solo,2021-10-02 08:55:01,29m 16s,3,7,14,2.43:1,empty,empty,Amumu,Grandmaster,empty,Shen,Shending el HP,Talon,2021Worlds0000,Akali,Oggman,Miss Fortune,Seelame,Amumu,Aegis fangirlQAQ,Sylas,pr1meé ,Rammus,BR Lord Semi,Yone,EllamCompany,Soraka,Namex,Senna,KwK AlVaRo710
5487179418,win,Ranked Solo,2021-10-02 08:14:16,21m 1s,1,2,9,5.00:1,empty,empty,Nami,Grandmaster,empty,Lillia,NATANATANATANATA,Lee Sin,fooling around,Anivia,nakreB v2,Lucian,Emtest,Nami,Aegis fangirlQAQ,Trundle,FrozenHuntsman,Graves,Expecto Patrounm,Seraphine,lolNash,Aphelios,Namex,Thresh,Christian Lenz
5486866355,win,Ranked Solo,2021-10-02 05:36:31,23m 20s,1,4,13,3.50:1,empty,empty,Bard,Grandmaster,empty,Malzahar,Germi09,Graves,Gilius2,LeBlanc,MSF Sertuss,Kai'Sa,LΣVl,Pyke,woshidoinb,Camille,chance no exist,Lee Sin,blrzr,Xerath,TheRoyalKanin,Lucian,Emtest,Bard,Aegis fangirlQAQ
5486436902,win,Ranked Solo,2021-10-02 03:43:08,34m 10s,3,10,17,2.00:1,empty,empty,Thresh,Grandmaster,empty,Camille,JBL ABUSER,Qiyana,HEART F STEEL,Syndra,SAUCE WALKA,Draven,DIGESTHUMANFLESH,Bard,TraYtoN,Irelia,Finn1,Evelynn,Lοvelorn,Zed,LDLC Gumayusi,Kalista,HoIyPhoenîx,Thresh,Aegis fangirlQAQ
5485839421,win,Ranked Solo,2021-10-01 20:42:05,30m 7s,3,3,29,10.67:1,MVP,empty,Thresh,Master,empty,Tryndamere,TOG lupi,Kayn,Tigazz,Vel'Koz,Fin Frérοt ,Karthus,VictimOfBotDif,Thresh,Aegis fangirlQAQ,Pantheon,kaymint acc,Lillia,Skeanz,Irelia,ég jojopyun,Draven,DIGESTHUMANFLESH,Xerath,Magus Ascendant
5485116221,win,Ranked Solo,2021-10-01 02:56:25,22m 32s,0,3,19,6.33:1,empty,empty,Leona,Grandmaster,empty,Renekton,dehastee,Evelynn,Roulette,Yasuo,Mοrdred,Tristana,i abuse ie ,Leona,Aegis fangirlQAQ,Sett,l Need Blood ,Lee Sin,fooling around,Gwen,JBL ABUSER,Xayah,WTX Scripter,Alistar,Chouineur 1
5485055247,lose,Ranked Solo,2021-10-01 02:27:58,15m 11s,0,3,0,0.00:1,empty,empty,Thresh,Grandmaster,empty,Wukong,lets get itt,Xin Zhao,DIV Antero,Sylas,msfvetheo1,Jhin,Arktoso,Soraka,MCES Artoria,Trundle,Gabbo,Ekko,l Need Blood ,Jayce,dehastee,Draven,i abuse ie ,Thresh,Aegis fangirlQAQ
5484989036,win,Ranked Solo,2021-10-01 02:04:53,27m 33s,1,5,19,4.00:1,empty,empty,Nami,Grandmaster,empty,Shen,dont be yikes,Graves,2021Worlds0000,Rumble,Silenceuuu 3,Lucian,Mytnat,Nami,Aegis fangirlQAQ,Darius,sorrrrrrry,Fiddlesticks,AØH,Qiyana,TC Hú Táo,Ezreal,Wakz,Yuumi,IlIlIllIlIllIllI
5484995828,win,Ranked Solo,2021-10-01 01:29:54,15m 35s,0,0,14,Perfect,MVP,empty,Lulu,Grandmaster,empty,Aatrox,Gabbo,Kindred,nap ability,Katarina,TwTv Ronges1,Jinx,Wakz,Lulu,Aegis fangirlQAQ,Kled,CaÞs,Lee Sin,2021Worlds0000,Irelia,SlXTEN,Ezreal,Bartito,Yuumi,Champ Tester
5484791103,win,Ranked Solo,2021-09-30 22:14:04,30m 9s,3,5,28,6.20:1,empty,empty,Bard,Grandmaster,empty,Talon,420WeabooSlayer,Nocturne,phlaty,Kassadin,Rank1 Macro,Karthus,Robert Sapolsky,Bard,Aegis fangirlQAQ,Sion,Babus,Lee Sin,better bot win1,Orianna,flower moon,Ezreal,Furuy,Leona,WANNADIVE
5484687543,lose,Ranked Solo,2021-09-30 21:36:04,33m 19s,0,10,10,1.00:1,empty,empty,Nami,Grandmaster,empty,Gragas,im car,Nidalee,Whiteakitout,Talon,420WeabooSlayer,Kalista,Ukazat,Thresh,enjawve,Tryndamere,Stor Olle ,Ekko,Undercover CraB,Yone,flower moon,Lucian,YouMakeMeSmile,Nami,Aegis fangirlQAQ
5484644111,win,Ranked Solo,2021-09-30 20:36:38,29m 11s,5,6,19,4.00:1,empty,empty,Nautilus,Grandmaster,empty,Yone,S04 Broken Blade,Nocturne,phlaty,Lillia,CaÞs,Jhin,FLIP FliiZee,Nautilus,Aegis fangirlQAQ,Tahm Kench,BotIsLavaPathTop,Kha'Zix,ChigongMaster,Galio,I like galio,Lucian,Hesburgler,Nami,Targamas
5484346111,lose,Ranked Solo,2021-09-30 09:12:29,10m 13s,0,0,0,0.00:1,empty,empty,Bard,Grandmaster,empty,Sett,Suirotas,Viego,IIIlIllIIIllIll,Lissandra,GS Bolulu,Ezreal,nrmn,Yuumi,SAe Maverick,Sylas,Oggman,Zed,DahVysss,Yone,ƒallεn angel,Jhin,hgotdsxz,Bard,Aegis fangirlQAQ
5484333394,win,Ranked Solo,2021-09-30 08:48:50,27m 11s,1,5,13,2.80:1,empty,empty,Nami,Grandmaster,empty,Heimerdinger,COOOOOOOOOOOOUGH,Graves,bobber kong,Lissandra,GS Bolulu,Samira,nrmn,Rakan,EUW 4 PANEL,Jax,SRB Jungler 47,Lillia,357159,LeBlanc,CG Nio,Draven,Namex,Nami,Aegis fangirlQAQ
5484248356,win,Ranked Solo,2021-09-30 08:04:25,38m 36s,9,7,10,2.71:1,MVP,empty,Pyke,Grandmaster,empty,Camille,XLeQu,Kayn,TC Hú Táo,Syndra,Po Gap,Kai'Sa,hiro3,Pyke,Aegis fangirlQAQ,Ezreal,jackisek,Rek'Sai,91 C LE BRESIL,Singed,SlNGED,Karthus,twtchtvELOSANTA,Pantheon,CG Nio
5482758699,win,Ranked Solo,2021-09-29 10:38:40,26m 29s,4,3,21,8.33:1,empty,empty,Bard,Master,empty,Irelia,FIX SOL0Q,Fiddlesticks,EUW VILLAIN,Qiyana,GETOUTFROMHEREXD,Ziggs,JESUISRANDOMEXD,Bard,Aegis fangirlQAQ,Rengar,7MDN,Nunu & Willump,ice cοld,Sett,dayikooooo,Jinx,KC xMatty1,Janna,KY5EK2
