gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490501438,lose,Ranked Solo,2021-10-04 08:55:05,35m 7s,17,4,14,7.75:1,Double Kill,empty,Lee Sin,Master,empty,Sett,TTV Liethanmis,Viego,HSFFFFFFFFFF,Twisted Fate,Twist,Lucian,ADADAD141414,Soraka,CrimzOnSlayer,Aatrox,lssho Fujitora,Lee Sin,Orange Killer,LeBlanc,KR Mid Import,Aphelios,secluded kiss,Taliyah,Bendíx
5488965517,win,Ranked Solo,2021-10-03 19:42:29,26m 37s,15,3,9,8.00:1,Double Kill,empty,Qiyana,Master,empty,Ryze,TOYOTA 86 TRUENO,Zed,Kimchi3,Malzahar,broder jonsen,Tristana,lIllIlllIlIIl,Braum,NNForsaken,Camille,Star is coming,Qiyana,Orange Killer,Sylas,nesiseka,Draven,n 456,Ekko,wow cold
5488607356,win,Ranked Solo,2021-10-03 09:41:20,30m 27s,6,3,8,4.67:1,empty,empty,Aatrox,Master,empty,Jax,Isombard,Ekko,Sl0tMach1n3,Akali,FB Kunduz1,Miss Fortune,Un nou început,Karma,Sharkked,Aatrox,Orange Killer,Taliyah,LngLng,Irelia,Akugyo,Vayne,Glαssy Sky,Soraka,EagIee
5488643655,win,Ranked Solo,2021-10-03 08:51:50,13m 32s,5,1,5,10.00:1,empty,empty,Ekko,Master,empty,Yone,VININE Rafunzel,Jarvan IV,LEO BRICHTA,Ezreal,DM Fandar,Ziggs,CrimzOnSlayer,Yuumi,ºKokomiº,Camille,Star is coming,Ekko,Orange Killer,Pantheon,GG Gaboesh,Lucian,pretty thoughts1,Nami,Brøøk
5488559612,lose,Ranked Solo,2021-10-03 08:20:17,19m 54s,2,7,1,0.43:1,empty,empty,Sylas,Master,empty,Tryndamere,çerez mayonez,Master Yi,Dogchamp OTP,Sylas,Orange Killer,Aphelios,MAJOR FestWho,Nami,Miremengjesi,Kayle,One last kιss,Jarvan IV,Sl0tMach1n3,LeBlanc,kníght zz,Miss Fortune,TIAGO PZK,Amumu,YTSearch Hanabi
5488572771,win,Ranked Solo,2021-10-03 07:38:39,25m 34s,18,3,13,10.33:1,Double Kill,MVP,Lee Sin,Master,empty,Urgot,UrgoIncognito,Talon,niaM cdA,Twisted Fate,Like a n1nja,Kai'Sa,New Pretty Dawn,Amumu,Sigma Pathing,Camille,NG Dawn,Lee Sin,Orange Killer,LeBlanc,wincg,Lucian,Giant Monster,Nami,SiMajk
5487910763,win,Ranked Solo,2021-10-03 00:21:18,29m 58s,10,1,10,20.00:1,Double Kill,MVP,Graves,Master,empty,Gnar,BitSu EnJoYeR,Nidalee,twitchtv finnry,Ahri,J5 Portischen,Lucian,FliiZee v2,Rakan,Joo1,Jinx,Benji  GGD,Graves,Orange Killer,Sylas,رجل,Gragas,Star is coming,Maokai,Dainank
5487861790,lose,Ranked Solo,2021-10-02 23:36:12,37m 24s,9,8,7,2.00:1,Triple Kill,empty,Lee Sin,Diamond 1,empty,Jax,HZOOMB,Graves,a world of love,Syndra,Rimtuolis,Twitch,Akanania,Thresh,Tesumi,Camille,Star is coming,Lee Sin,Orange Killer,Lux,plsbuffmarksman,Lucian,IcelandWalrus,Lulu,MercilessTom1
5487517689,win,Ranked Solo,2021-10-02 19:52:30,23m 40s,8,1,13,21.00:1,Double Kill,MVP,Ekko,Diamond 1,empty,Lillia,Miwcio,Ivern,Cêrsei Lannister,Tryndamere,Rugee,Vayne,Akanania,Poppy,Chat off Zyra on,Jax,Im fine thx you,Ekko,Orange Killer,Talon,FBI OPEN UP,Kai'Sa,lIllIlllIlIIl,Pyke,wow cold
5487363200,lose,Ranked Solo,2021-10-02 11:44:00,27m 59s,6,8,5,1.38:1,empty,empty,Kayn,Diamond 1,empty,Fiora,SakurajimaMai122,Xin Zhao,on me,Cassiopeia,HylanDaddy,Veigar,GOODNIGHTATYCHI,Soraka,Good Kassadin,Gnar,MHtotal,Kayn,Orange Killer,Vladimir,ravenous hatred,Ezreal,Shelome v7,Karma,FB Shâdow Reaper
5486272875,win,Ranked Solo,2021-10-02 01:50:19,25m 14s,9,0,14,Perfect,empty,empty,LeBlanc,Master,empty,Urgot,UrgoIncognito,Zac,theocacao,Orianna,PÉON zLx,Jhin,Μirror,Soraka,Marlley,Yone,ESP Timelord,Lee Sin,Koczis,LeBlanc,Orange Killer,Kai'Sa,IcelandWalrus,Nautilus,Ethixcy
5486216143,lose,Ranked Solo,2021-10-02 01:08:57,27m 58s,8,2,7,7.50:1,ACE,empty,Diana,Diamond 1,empty,Camille,APE Knast,Kha'Zix,Grail,Irelia,BEST RIVEN PT,Veigar,ENTUZJASTA MFKI,Janna,iyon ali,Riven,Exile Myself,Diana,Orange Killer,Yasuo,Q spammer,Twitch,uMxM01,Rakan,Ethixcy
5485913649,win,Ranked Solo,2021-10-01 19:53:49,26m 47s,8,2,8,8.00:1,Double Kill,empty,Ekko,Master,empty,Volibear,SC v1SaG3,Xin Zhao,TDS Sixen,Akali,YooLek,Ashe,Fish Viet Nam,Zyra,Chat off Zyra on,Irelia,Star is coming,Ekko,Orange Killer,Qiyana,Arsoniss,Draven,EurobeatAbuser77,Nami,2021Worlds0057
5485901798,win,Ranked Solo,2021-10-01 19:17:53,21m 4s,6,3,5,3.67:1,empty,empty,Yone,Diamond 1,empty,Tryndamere,otidekonqurekata,Amumu,Mister Burns,Sylas,Arsoniss,Lucian,Ultimatetrix,Karma,LuckyCritOmg,Aatrox,Star is coming,Karthus,EU Tarzan,Yone,Orange Killer,Ezreal,HGS Nadsat,Rakan,OKoCsiO
