gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5476299131,win,Ranked Solo,2021-09-26 01:57:36,25m 7s,3,7,3,0.86:1,empty,empty,Yone,Grandmaster,empty,Warwick,수희0,Lee Sin,kaixin1dian,Twisted Fate,Headshrinker,Miss Fortune,아프리카TV 짝강,Lulu,강아지도 좋아,Yone,T1 Canna,Kayn,앤 쥐,Zoe,나는성공할것이다,Ziggs,KT Way,Leona,루시안권총압수
5476281385,lose,Ranked Solo,2021-09-26 01:16:07,24m 6s,1,9,4,0.56:1,empty,empty,Gwen,Grandmaster,empty,Qiyana,권 지 인,Ekko,CITRU5,Yone,Pz ZZang,Kai'Sa,Lure or die ,Leona,xiao adc,Gwen,T1 Canna,Lee Sin,리액션단돈만원 ,Talon,구글 검색 제드팀,Lucian,하 루 가절 반 ,Maokai,둠심 YouTube
5476200786,win,Ranked Solo,2021-09-26 00:36:22,30m 16s,7,8,4,1.38:1,Double Kill,empty,Riven,Grandmaster,empty,Jayce,공부하기시러요,Lee Sin,love beijixing,Syndra,HLE Mask,Samira,화창한날맑은구름,Alistar,tlvekdlrlrh,Riven,T1 Canna,Graves,Haru0304,LeBlanc,Nation Blue,Vayne,참 몬났다,Leona,단군의청춘부재
5476055852,lose,Ranked Solo,2021-09-25 23:59:07,15m 54s,1,3,1,0.67:1,ACE,empty,Riven,Grandmaster,empty,Fiora,리액션단돈만원 ,Xin Zhao,eightzz,Galio,퀸 세연,Cassiopeia,라데시 너어,Poppy,전서방 닭갈비,Riven,T1 Canna,Olaf,Haru0304,Akali,권 지 인,Vayne,cer,Rell,언젠가만나게되는
5475909070,lose,Ranked Solo,2021-09-25 23:08:36,30m 30s,5,6,4,1.50:1,empty,empty,Sylas,Grandmaster,empty,Pantheon,못할 때도 있지,Taliyah,lucky boy2,Sylas,T1 Canna,Aphelios,Slayder,Leona,LSB Utility,Graves,Gen G Lonely,Lee Sin,love beijixing,Zoe,KT VicLa,Heimerdinger,Spit in my mouth,Amumu,fuzhu carry
5473149782,win,URF,2021-09-24 21:47:36,11m 50s,11,4,9,5.00:1,Double Kill,empty,Nidalee,empty,empty,LeBlanc,로켓싸개,Zed,무지걔여섯공성전,Skarner,서폿은 노비다,Bard,뇽뇽이1호,Renekton,늘짜증나는사람,Singed,모하비황무지,Jax,동쪽의 호랑이,LeBlanc,난 워낙 노빠꾸라,Nidalee,T1 Canna,Lucian,준팔e
5473131291,win,Ranked Solo,2021-09-24 21:22:31,20m 0s,7,1,4,11.00:1,Double Kill,MVP,Tryndamere,Grandmaster,empty,Tryndamere,T1 Canna,Xin Zhao,Lee weon bin,LeBlanc,mingjiao,Ezreal,im trash,Leona,미드 사용법12,Jax,213435,Jarvan IV,Return To U,Vex,댜 쨩,Vayne,42141321,Lulu,TwitchTV석빵빈
5473002275,win,Ranked Solo,2021-09-24 20:47:19,25m 20s,5,3,12,5.67:1,Triple Kill,MVP,Riven,Master,empty,Lee Sin,wu shi fa sheng,Graves,먼 여행을 떠나,Akali,213435,Draven,skwhadlrlffo,Amumu,DWG BeryL,Riven,T1 Canna,Kayn,JustLikeThatKR,Galio,langmanbusi,Lucian,Gen G Envy,Blitzcrank,햄스터쳇바퀴인생
5472925383,win,Ranked Solo,2021-09-24 20:07:13,17m 23s,2,3,1,1.00:1,Double Kill,empty,Aatrox,Grandmaster,empty,Gragas,blwy1,Lee Sin,짐승 짭종 인간,Orianna,CIoudburst,Jinx,폭탄치우기,Nautilus,oilf,Aatrox,T1 Canna,Ekko,Love dont stop,Talon,시간의 숲,Aphelios,skwhadlrlffo,Karma,Shadow FA 03
5472322208,lose,URF,2021-09-24 16:40:21,17m 10s,14,7,2,2.29:1,Triple Kill,empty,Sylas,empty,empty,Lillia,지학은박선,Lucian,whehdrnjs,Trundle,아크샨숭이,Vayne,하 련 슬 기,Lee Sin,fuxxxxx lee,Caitlyn,요리사의 전완근,Irelia,난 감자야,Jayce,DESIGN THINKING,Zed,이젠 웃을래,Sylas,T1 Canna
5472234966,win,Ranked Solo,2021-09-24 16:11:35,32m 7s,8,5,6,2.80:1,empty,empty,Riven,Grandmaster,empty,Riven,T1 Canna,Nidalee,DK vvv,Qiyana,새콤달콤 하 다,Ezreal,xx7dz,Bard,리그오브레전드ll,Nocturne,탱 녹,Taliyah,Juhana,Graves,zhaozhaozhaoo,Lucian,DWG Ghost,Nami,Mocha
5472079816,lose,Ranked Solo,2021-09-24 15:22:27,30m 21s,1,9,1,0.22:1,empty,empty,Tryndamere,Grandmaster,empty,Graves,time or time,Xin Zhao,orah,LeBlanc,7777케이,Lucian,초보원딜러,Braum,DWG Bubbling,Tryndamere,T1 Canna,Nidalee,아프면살기힘들다,Irelia,oilf,Ezreal,돼지와함께춤을a,Rakan,kukuking
5471464379,win,Ranked Solo,2021-09-24 00:35:57,17m 36s,13,3,5,6.00:1,Double Kill,MVP,Lucian,Grandmaster,empty,Tryndamere,Jian ren bizui,Taliyah,3donghezecaoxian,Sylas,wwwwdddddd,Kai'Sa,im trash,Blitzcrank,치쯔스틱,Akshan,혜지명1,Gwen,stupid yekai,Kennen,커피물조절장인,Lucian,T1 Canna,Alistar,Cherry Bloss0m
5471229271,win,Ranked Solo,2021-09-24 00:07:20,19m 25s,7,3,5,4.00:1,MVP,empty,Lucian,Grandmaster,empty,Fiora,77GameZting,Talon,KT R MID,Corki,엄청나대단해,Lucian,T1 Canna,Seraphine,매사에 긍정,Quinn,발러야 밥먹자,Xin Zhao,Lee weon bin,Aurelion Sol,cxybaby,Samira,wu tiao jian,Nautilus,Jian ren bizui
5471222331,lose,Ranked Solo,2021-09-23 23:41:43,32m 55s,6,11,5,1.00:1,empty,empty,Aatrox,Master,empty,Aatrox,T1 Canna,Jarvan IV,wwwwdddddd,LeBlanc,langmanbusi,Ezreal,매사에 긍정,Leona,갱봉이,Fiora,doleimepa,Lee Sin,미드 사용법12,Gangplank,huya lang D,Xayah,아 나이뜨,Rakan,Purpo지니
5471069330,lose,Ranked Solo,2021-09-23 22:29:31,25m 23s,4,9,4,0.89:1,empty,empty,Draven,Grandmaster,empty,Jayce,blwy1,Nunu & Willump,2780491374142752,Kassadin,LunaLina,Draven,T1 Canna,Amumu,fuzhu carry,Gnar,BJ갈배,Qiyana,kaixin1dian,LeBlanc,Hide on bush,Miss Fortune,RiHoo,Galio,Shadow Nia
5470898082,lose,Ranked Solo,2021-09-23 21:33:55,31m 28s,1,8,6,0.88:1,empty,empty,Jayce,Grandmaster,empty,Jayce,T1 Canna,Rumble,커피물조절장인,Sett,Sutkressuree,Draven,unlucky boy1,Thresh,Practice,Aatrox,ignominious,Taliyah,YouTube 로어,Lucian,Gen G Quid,Vayne,cer,Lulu,11baby
5469653309,win,Ranked Solo,2021-09-23 00:12:44,34m 10s,10,7,7,2.43:1,MVP,empty,Gangplank,Master,empty,Gangplank,T1 Canna,Taliyah,DK Leaf,Lucian,갱값하는미드,Ezreal,pilotl0l,Karma,메이 츄르 좋아해,Lulu,제드팀 하원,Xin Zhao,Z RyeoKR,Zoe,Hide on bush,Aphelios,Kle3,Gragas,wndus
5469538725,lose,Ranked Solo,2021-09-22 23:32:40,20m 25s,2,4,2,1.00:1,ACE,empty,Aatrox,Grandmaster,empty,Poppy,수희0,Taliyah,byz,Irelia,Hakunaa Matata,Lucian,BTS 아오미네,Lulu,Yi bing chao,Aatrox,T1 Canna,Ekko,jingshen qiang,Ezreal,DK ShowMaker,Kalista,Gen G Ruler,Alistar,ANG TV
5469492968,lose,Ranked Solo,2021-09-22 22:57:27,17m 6s,0,5,4,0.80:1,empty,empty,Syndra,Grandmaster,empty,Quinn,발러야 밥먹자,Evelynn,요즘솔랭누가하냐,Sett,수희0,Kai'Sa,화창한날맑은구름,Blitzcrank,햄스터쳇바퀴인생,Mordekaiser,77GameZting,Lee Sin,sao ma do duoc,Syndra,T1 Canna,Lucian,BTS 아오미네,Lulu,Purpo지니
5462316299,win,Ranked Solo,2021-09-19 21:43:53,25m 27s,9,1,11,20.00:1,Double Kill,MVP,Kennen,Grandmaster,empty,Kennen,T1 Canna,Talon,T1 F0rest,LeBlanc,은정우,Kai'Sa,고구마태풍,Shen,쉔과나의연결고리,Camille,공부하기시러요,Rek'Sai,우울적울컥,Lissandra,갱값하는미드,Vayne,cer,Leona,Cherry Bloss0m
5462252548,lose,Ranked Solo,2021-09-19 21:12:24,16m 3s,1,3,4,1.67:1,ACE,empty,Jayce,Grandmaster,empty,Jayce,T1 Canna,Nidalee,hyc0505,Renekton,DWG Bubbling,Samira,애기야 안녕,Amumu,종갈통,Kennen,포동포동아기물개,Viego,mnbvcxze,LeBlanc,은정우,Varus,방서동주민,Shen,쉔과나의연결고리
5462175154,win,Ranked Solo,2021-09-19 20:47:20,29m 7s,5,7,4,1.29:1,empty,empty,Riven,Grandmaster,empty,Irelia,포동포동아기물개,Zac,종갈통,Ryze, youwillsucceed,Samira,파나경,Gragas,4 10 UP,Riven,T1 Canna,Rek'Sai,hyc0505,LeBlanc,은정우,Cassiopeia,킬러톱,Shen,쉔과나의연결고리
5462148657,win,Ranked Solo,2021-09-19 20:12:33,22m 3s,9,2,7,8.00:1,Triple Kill,MVP,Lucian,Grandmaster,empty,Fiora,v나르샤v,Nidalee,zhaozhaozhaoo,Zoe,파나경,Lucian,T1 Canna,Lulu,방서동주민,Cassiopeia,킬러톱,Jarvan IV,종갈통,LeBlanc,은정우,Kai'Sa,Mangja,Shen,쉔과나의연결고리
5462095377,win,Ranked Solo,2021-09-19 19:39:31,16m 8s,4,0,1,Perfect,Double Kill,empty,Lucian,Grandmaster,empty,Mordekaiser,77GameZting,Talon,Juhana,Twisted Fate,l3reeze,Kalista,asdafsdfd,Nautilus,Danrenguiz,Kennen,북극곰 아프다,Zed,Naehyun,Zoe,나도 행복하자,Lucian,T1 Canna,Lulu,AD JJoon
5461515176,lose,Ranked Solo,2021-09-19 15:52:34,25m 21s,1,6,7,1.33:1,empty,empty,Riven,Grandmaster,empty,Riven,T1 Canna,Talon,난 워낙 노빠꾸라,Kassadin,나라카일,Jhin,호잇이,Amumu,Let me sup,Jax,T1 Zeus,Rek'Sai,20200902start,Twisted Fate,Shadow FA 03,Ezreal,tnedifnoc syawla,Alistar,거북이사건
5461328449,lose,Ranked Solo,2021-09-19 15:18:32,28m 49s,8,8,5,1.63:1,Double Kill,empty,Jhin,Grandmaster,empty,Kennen,T1 Zeus,Nidalee,Z RyeoKR,Garen,Cuzz,Miss Fortune,tnedifnoc syawla,Amumu,Let me sup,Malphite,Shadow FA 03,Lee Sin,난 워낙 노빠꾸라,Fiora,Fiora,Jhin,T1 Canna,Shen,쉔과나의연결고리
5461259864,win,Ranked Solo,2021-09-19 14:24:42,25m 35s,7,3,7,4.67:1,Double Kill,empty,Riven,Grandmaster,empty,Irelia,Trisak,Zac,02년생 자크,Graves,20200902start,Lucian,이기고오쉽당,Nami,호잇이,Riven,T1 Canna,Nidalee,롤듀오 코코팀,Galio,몽키 D 짱구,Aphelios,항상배고픈코그모,Thresh,IgNar
5461177100,win,Ranked Solo,2021-09-19 13:45:24,19m 17s,5,1,2,7.00:1,empty,empty,Riven,Master,empty,Jax,한타 잘하고싶당,Xin Zhao,무식하면 짖어,Syndra,Mippy,Aphelios,풍경1,Blitzcrank,임녜준,Riven,T1 Canna,Lee Sin,DRX Keria,LeBlanc,DLRUQHWKK,Jinx,beican shenghuo,Thresh,Tumble Delighted
5460688218,lose,Ranked Solo,2021-09-19 01:17:20,20m 25s,2,2,1,1.50:1,empty,empty,Vladimir,Master,empty,Irelia,ke bei,Ekko,muzan,Vladimir,T1 Canna,Miss Fortune,T1 Dodoup,Amumu,IgNar,Jayce,wodesry,Lee Sin,mnbvcxze,Zoe,갱값하는미드,Kai'Sa,little hamburger,Rakan,레일리리
5460639571,win,Ranked Solo,2021-09-19 00:29:12,16m 8s,3,5,0,0.60:1,empty,empty,Irelia,Grandmaster,empty,Irelia,T1 Canna,Ekko,Ellyyy,Cassiopeia,03 프로가능할까,Tryndamere,Hide on bush,Yuumi,의빈아열심히살자,Vayne,물에 젖은 장작,Lee Sin,종갈통,Syndra,HLE Mask,Lucian,하 루 가절 반 ,Nami,레일리리
5460651442,lose,Ranked Solo,2021-09-19 00:03:19,26m 41s,5,11,0,0.45:1,Double Kill,empty,Lucian,Grandmaster,empty,Sett,뽀송뽀숑비숑,Karthus,Makeri ta,Pantheon,애달프다,Jhin,depart,Karma,Clever9,Jayce,wodesry,Graves,wndus,Zoe,퀸 세연,Lucian,T1 Canna,Nautilus,BigFour44
5460414277,win,Ranked Solo,2021-09-18 23:19:54,22m 2s,6,3,7,4.33:1,empty,empty,Lucian,Master,empty,Graves,싸움 기피증,Zed,594877,Lissandra,CHAN SAY,Aphelios,참 몬났다,Thresh,기모링딩동1,Sett,langmanbusi,Ekko,wetfan,Tryndamere,게임을열심히하다,Lucian,T1 Canna,Nami,고등학생
5460165764,lose,Ranked Solo,2021-09-18 22:38:57,20m 20s,3,7,5,1.14:1,empty,empty,Irelia,Master,empty,Irelia,T1 Canna,Ekko,X46A,Lee Sin,langmanbusi,Samira,유머1234,Leona,long yan jing er,Jayce,La K game,Kindred,6yt7hbu,Galio,happygameII,Ezreal,DLRUQHWKK,Alistar,고등학생
5460026747,lose,Ranked Solo,2021-09-18 21:52:40,16m 11s,1,9,0,0.11:1,empty,empty,Jayce,Grandmaster,empty,Wukong,La K game,Taliyah,롤듀오 코코팀,Yasuo,i am Decade,Miss Fortune,챌 봇 감,Lulu,의빈아열심히살자,Sett,우따따따따따뚜겐,Nidalee,3donghezecaoxian,Jayce,T1 Canna,Lucian,hong he wo de,Yuumi,Happy Cats
5459970044,lose,Ranked Solo,2021-09-18 21:21:20,19m 8s,2,13,1,0.23:1,empty,empty,Jayce,Grandmaster,empty,Urgot,이도류,Lee Sin,orah,Kassadin,몽키 D 짱구,Cassiopeia,킬러톱,Amumu,선생님 맛없어요,Jayce,T1 Canna,Kayn,2007 xhr,Taliyah,싸움 기피증,Lucian,DK Kingdom,Lulu,Happy Cats
5459920344,win,Ranked Solo,2021-09-18 20:38:51,20m 55s,6,3,4,3.33:1,Double Kill,empty,Lucian,Grandmaster,empty,Riven,i am Decade,Ekko,포동포동아기물개,Nocturne,탱 녹,Kai'Sa,42141321,Leona,기므태이,Tryndamere,wodesry,Talon,jingshen qiang,Twisted Fate,조까안해,Lucian,T1 Canna,Lulu,교잘도
5459824195,lose,Ranked Solo,2021-09-18 20:09:15,26m 1s,1,7,2,0.43:1,empty,empty,Tryndamere,Grandmaster,empty,Darius,hfubVHDVuAWVF ,Graves,Co24,Lissandra,HLE Mask,Kai'Sa,AD JJoon,Gragas,EIderwood Azir,Tryndamere,T1 Canna,Qiyana,a new beginn1ng,Nocturne,탱 녹,Ziggs,hopeisdangerous,Amumu,Hide on bush
5459769413,win,Ranked Solo,2021-09-18 19:35:09,15m 15s,1,2,3,2.00:1,empty,empty,Lucian,Grandmaster,empty,Warwick,수희0,Rek'Sai,싸움 기피증,Sylas,BRO Loopy,Lucian,T1 Canna,Thresh,Cherry Bloss0m,Lee Sin,wodesry,Olaf,oabco,Twisted Fate,Headshrinker,Kai'Sa,하 루 가절 반 ,Blitzcrank,Av0cadoda
5456386686,lose,Ranked Solo,2021-09-17 03:03:46,28m 52s,4,7,3,1.00:1,empty,empty,Aatrox,Grandmaster,empty,Aatrox,T1 Canna,Viego,EDG XIAMU,Sylas,사랑이 하고싶어,Ezreal,AD JJoon,Rakan,xiatingchan,Irelia,EWrRS,Talon,a new beginn1ng,Ryze,미치광이보노보노,Samira,가민준,Alistar,permaban991132
5454784736,win,Ranked Solo,2021-09-16 02:25:40,22m 29s,14,6,10,4.00:1,Quadra Kill,empty,Kennen,Grandmaster,empty,Zed,율천고 최현우,Lee Sin,미드 사용법12,Kennen,T1 Canna,Jhin,원딜연습중입니닷,Xerath,03 프로가능할까,Shen,ScyIIa,Jarvan IV,DWG Bubbling,Katarina,CIozerr,Ezreal,자장면잠봉당수육,Amumu,tlvekdlrlrh
5454629426,lose,Ranked Solo,2021-09-16 01:24:49,29m 20s,5,6,6,1.83:1,Double Kill,ACE,Tryndamere,Grandmaster,empty,Tryndamere,T1 Canna,Lee Sin,리액션단돈만원 ,Diana,Love dont stop,Lucian,누쇤퍅,Thresh,유경완짜증나,Kennen,DK Ira,Volibear,Co24,LeBlanc,Hide on bush,Samira,유머1234,Amumu,woshissm
5454694779,win,Ranked Solo,2021-09-16 00:44:09,15m 36s,1,2,1,1.00:1,empty,empty,Ryze,Master,empty,Akshan,Fisherr,Viego,리액션단돈만원 ,Ryze,T1 Canna,Twitch,im trash,Rakan,four year,Yone,AF BuLLDoG,Taliyah,숨바꼭질,Lucian,depart,Kai'Sa,누쇤퍅,Maokai,Danrenguiz
5454597230,win,Ranked Solo,2021-09-16 00:01:27,22m 58s,10,8,11,2.63:1,Double Kill,empty,Ryze,Grandmaster,empty,Qiyana,미소녀우진,Gragas,어둠이 몰려와도,Ryze,T1 Canna,Samira,애기야 안녕,Rell,bluemingg,Shen,커피물조절장인,Lee Sin,wndus,Syndra,7777케이,Draven,zszzz,Amumu,Cherry Bloss0m
5454592127,lose,Ranked Solo,2021-09-15 23:30:15,20m 44s,1,9,2,0.33:1,empty,empty,Tryndamere,Grandmaster,empty,Camille,HLE Baut,Graves,DK Leaf,Sylas,Tangyuando,Lucian,qkfzlfl,Rakan,Cherry Bloss0m,Tryndamere,T1 Canna,Rumble,커피물조절장인,Aatrox,소년가장 원딜,Varus,텐비 서프 라테일,Amumu,고등학생
5454164916,win,Ranked Solo,2021-09-15 21:53:37,23m 12s,9,5,6,3.00:1,empty,empty,Jayce,Grandmaster,empty,Sylas,DK Lucid,Viego,Tangyuando,Irelia,Aileri,Vayne,요즘솔랭누가하냐,Leona,GAM NRG,Jayce,T1 Canna,Kindred,Love dont stop,Galio,켈 란,Ziggs,나는변신할것이다,Alistar,Quiero ganar
5453997732,win,Ranked Solo,2021-09-15 21:18:16,21m 4s,3,3,3,2.00:1,empty,empty,Sylas,Master,empty,Sylas,T1 Canna,Lee Sin,종갈통,Katarina,zai wo shenbian,Ezreal,하 루 가절 반 ,Lulu,독기품기,Sett,따봉 람머스,Ekko,wndus,Riven,Naehyun,Aphelios,42141321,Alistar,xibaxiba
5453950998,lose,Ranked Solo,2021-09-15 20:36:05,24m 14s,3,8,4,0.88:1,ACE,empty,Syndra,Grandmaster,empty,Kennen,지옥 멍멍이,Talon,켈 란,Ryze,Zhuanxinzhizhi,Twitch,powfu boy,Amumu,선생님 맛없어요,Syndra,T1 Canna,Poppy,Iove poppy,Ekko,Tangyuando,Ezreal,Asaka1,Shen,에르피디
5453826593,win,Ranked Solo,2021-09-15 20:06:48,22m 49s,9,4,3,3.00:1,Double Kill,MVP,Kennen,Grandmaster,empty,Rumble,T1 Roach,Lee Sin,Gen G Clid,Syndra,Tangyuando,Lucian,어제보단잘하자,Thresh,permaban991132,Kennen,T1 Canna,Viego, 엘 림,Yone,Hide on bush,Cassiopeia,글썽글썽태윤,Sett,zxckas0dk
5453172748,win,Ranked Solo,2021-09-15 03:14:20,31m 1s,11,6,8,3.17:1,Triple Kill,empty,Kennen,Grandmaster,empty,Aatrox,Mippy,Graves,Z RyeoKR,Sylas,4세대,Cassiopeia,Chang Min ,Trundle,지누캐리,Kennen,T1 Canna,Jarvan IV,DK vvv,Ryze,DK Pullbae,Draven,애기야 안녕,Thresh,heeseong
5453092544,win,Ranked Solo,2021-09-15 02:36:05,20m 39s,3,2,4,3.50:1,empty,empty,Tryndamere,Grandmaster,empty,Tryndamere,T1 Canna,Graves,EWrRS,LeBlanc,KT VicLa,Kindred,유튜브아라드구독,Lulu,MNTNMNTNM,Camille,Gen G Rascal,Lee Sin,3donghezecaoxian,Zed,율천고 최현우,Lucian,it calls echoes,Nami,Daiskii
5452978285,win,Ranked Solo,2021-09-15 02:08:18,24m 8s,8,3,7,5.00:1,Double Kill,empty,Graves,Grandmaster,empty,Tahm Kench,따봉 람머스,Graves,T1 Canna,Zoe,heisiwodezuiai,Aphelios,it calls echoes,Leona,AF HH,Irelia,ao that day,Xin Zhao,제드팀 하원,Anivia,e dal,Ziggs,Gen G Rascal,Trundle,Cherry Bloss0m
5452984730,win,Ranked Solo,2021-09-15 01:24:33,15m 42s,8,0,1,Perfect,Triple Kill,MVP,Irelia,Grandmaster,empty,Kennen,KT R ADC,Zed,EWrRS,Qiyana,SanShengWanWu,Draven,애기야 안녕,Leona,Cherry Bloss0m,Irelia,T1 Canna,Viego,늪에 빠지다1,Kayle,Gengarnold,Ziggs,이도류,Trundle,잭 호
5452930637,lose,Ranked Solo,2021-09-15 01:02:21,30m 49s,10,7,6,2.29:1,Double Kill,empty,Tryndamere,Master,empty,Tryndamere,T1 Canna,Viego,6yt7hbu,Ryze,갱값하는미드,Ziggs,Soul Shooter66,Trundle,FAKE LOVEE,Irelia,ao that day,Lee Sin,하루 50점,Galio,참 몬났다,Vayne,QmwmQ,Lulu,폭탄치우기
5452814568,win,Ranked Solo,2021-09-15 00:13:53,20m 36s,4,4,11,3.75:1,empty,empty,Tryndamere,Grandmaster,empty,Tryndamere,T1 Canna,Graves,담미온 부대국밥,Azir,뮤즈아쿠아니지동,Tristana,sao ma do duoc,Rell,bluemingg,Jax,La K game,Ivern,오직데이지만믿음,Irelia,총을 다루는 소녀,Ezreal,RiHoo,Rakan,김규남 fan
5452436734,lose,Ranked Solo,2021-09-14 21:52:22,31m 51s,3,12,3,0.50:1,empty,empty,Tryndamere,Grandmaster,empty,Tryndamere,T1 Canna,Jarvan IV,DWG Bubbling,Orianna,조까안해,Ziggs,숟호신,Galio,T1 Minous,Riven,Luv Lauv,Karthus,듀오 강의 제드팀,Lucian,sao ma do duoc,Caitlyn,1v2or1v3,Amumu,일 편
5452369267,lose,Ranked Solo,2021-09-14 21:09:03,23m 8s,2,5,1,0.60:1,empty,empty,Fizz,Grandmaster,empty,Fizz,T1 Canna,Graves,T1 F0rest,Akshan,미소녀우진,Cassiopeia,댜 쨩,Thresh,창우유,Renekton,Lee weon bin,Karthus,Return To U,Samira,DLRUQHWKK,Jayce,DoRun,Amumu,일 편
5452345848,win,Ranked Solo,2021-09-14 20:39:39,18m 48s,11,2,3,7.00:1,Double Kill,MVP,Tristana,Grandmaster,empty,Lucian,미소녀우진,Jarvan IV,Return To U,Cassiopeia,댜 쨩,Vayne,너 뭐하는거냐,Braum,창우유,Syndra,갱값하는미드,Poppy,Iove poppy,Tristana,T1 Canna,Jinx,RiHoo,Leona,qkfzlfl
5452259942,win,Ranked Solo,2021-09-14 20:08:01,24m 2s,10,3,12,7.33:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Jax,한타 잘하고싶당,Lee Sin,T1 Canna,Zoe,갱값하는미드,Kai'Sa,zszzz,Rakan,갱봉이,Jayce,illliillliilll,Talon,정글 사용법12,Sylas,젬민잉,Cassiopeia,댜 쨩,Rell,창우유
5449776358,lose,Ranked Solo,2021-09-13 02:06:40,16m 25s,2,6,0,0.33:1,empty,empty,Jayce,Master,empty,Jayce,T1 Canna,Ekko,썬더드래곤,Xerath,Slowly Song,Ashe,돼지와함께춤을a,Sona,아케이드 소나,Zed,너혹시엘소드하니,Jarvan IV,2 C U Again,Kennen,Crucile,Syndra,03 프로가능할까,Pyke,heeseong
5446494535,lose,Ranked Solo,2021-09-11 20:43:57,26m 40s,2,4,3,1.25:1,Double Kill,empty,Gangplank,Grandmaster,empty,Gangplank,T1 Canna,Lee Sin,리액션단돈만원 ,LeBlanc,alasseo,Aphelios,폭탄치우기,Taric,짜요짜요먹고싶어,Kennen,커피물조절장인,Viego,HLE Willer,Zoe,디알엑스 제트,Ashe,depart,Rakan,Gen G Lospa
5446389555,lose,Ranked Solo,2021-09-11 20:06:50,16m 25s,2,3,0,0.67:1,empty,empty,Qiyana,Grandmaster,empty,Camille,HLE Baut,Diana,a new beginn1ng,Tryndamere,97byg,Yasuo,행복하고싶다하하,Taric,짜요짜요먹고싶어,Jax,alasseo,Qiyana,T1 Canna,Sylas,리명준의 개,Lucian,매사에 긍정,Braum,아무무무무무0
5445974094,win,Ranked Solo,2021-09-11 14:59:38,27m 26s,13,3,1,4.67:1,Double Kill,empty,Kennen,Master,empty,Kennen,T1 Canna,Graves,Jzzcjmzh,Zoe,wannabe rookie,Aphelios,겁나게 겁나네,Leona,신비한 뱀,Irelia,따봉 람머스,Skarner,0p챔만하는사람,Kog'Maw,elole,Jinx,T1 R ADC,Thresh,suzhiwanjiaOvO
5428621622,lose,Ranked Solo,2021-09-02 02:14:40,20m 34s,2,5,4,1.20:1,empty,empty,Kennen,Grandmaster,empty,Kennen,T1 Canna,Kindred,Golden mole,LeBlanc,yyzx,Jhin,듀오강의코코팀,Sett,kwdcjrsgm,Viego,NEED HER,Nidalee,llllllllIllllI,Qiyana,눈부시게빛날테니,Xerath,메 피,Rakan,기모링딩동1
5428548219,lose,Ranked Solo,2021-09-02 01:45:40,26m 24s,2,8,2,0.50:1,empty,empty,Camille,Master,empty,Camille,T1 Canna,Fiddlesticks,송 하 랑,Lucian,병아리크면수탉,Draven,카트라이더11,Thresh,예쁘게 말해줘요,Viego,qoalzm,Nidalee,Spongebbob,Syndra,yyzx,Ashe,싸우지마 애들아,Sett,PuIse
5428465148,lose,Ranked Solo,2021-09-02 01:04:28,19m 39s,2,8,0,0.25:1,empty,empty,Jayce,Grandmaster,empty,Jayce,T1 Canna,Karthus,Weasely,Irelia,KT Dove,Jhin,T1 Gumayusi,Nautilus,유경완짜증나,Fiora,ke bei,Lee Sin,Shadow HamBak ,Sett,DK Pullbae,Syndra,가민준,Leona,DK Ira
5428531595,win,Ranked Solo,2021-09-02 00:35:46,15m 21s,7,1,0,7.00:1,empty,empty,Sylas,Grandmaster,empty,Gnar,공부하기시러요,Lee Sin,Weasely,Graves,사랑이 하고싶어,Ziggs,참 몬났다,Maokai,페퍼 파퍼,Ryze,KT VicLa,Xin Zhao,yiyezhiqiu,Sylas,T1 Canna,Ashe,impupupu,Rakan,Honpi
5428441591,win,Ranked Solo,2021-09-01 23:46:56,27m 53s,10,4,5,3.75:1,Double Kill,empty,Ryze,Grandmaster,empty,Ryze,T1 Canna,Nidalee,롤 강의 코코팀,Tristana,CIozerr,Ashe,김따코,Blitzcrank,달리기 왕,Gangplank,asdzxclwqdp,Rumble,2 C U Again,Lucian,ireliagwen,Ezreal,skwhadlrlffo,Karma,영원한 건 없으니
5427825619,lose,Ranked Solo,2021-09-01 21:24:33,21m 34s,3,6,5,1.33:1,empty,empty,Kennen,Grandmaster,empty,Kennen,T1 Canna,Jarvan IV,우울적울컥,Sett,badqwer,Varus,BSM 문효준,Braum,tlvekdlrlrh,Azir,뮤즈아쿠아니지동,Lee Sin,oabco,Sylas,05프로하고싶어요,Aphelios,글썽글썽태윤,Thresh,boycodondn123
5427699441,win,Ranked Solo,2021-09-01 20:56:13,25m 44s,5,3,10,5.00:1,MVP,empty,Kennen,Grandmaster,empty,Riven,오동1,Rek'Sai,우울적울컥,Galio,JD fans,Jinx,LSB Prince,Thresh,R U RD XXX,Kennen,T1 Canna,Graves,블루리쉬잘해요,Irelia,ke bei,Ezreal,BSM 문효준,Trundle,Yi bing chao
