gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5472267040,lose,Ranked Solo,2021-09-24 16:29:15,32m 9s,5,5,16,4.20:1,empty,empty,Lillia,Grandmaster,empty,Camille,ke bei,Lillia,L1sure,Vex,Indexy,Kalista,Gen G Peyz,Thresh,hao yun bao bei,Poppy,수희0,Karthus,byz,Tryndamere,Innocent crown,Kai'Sa,tnedifnoc syawla,Alistar,DFM GAENG
5471114276,win,Ranked Solo,2021-09-23 23:00:33,33m 59s,7,4,11,4.50:1,Double Kill,MVP,Lillia,Grandmaster,empty,Jayce,BRO Yaharong,Jarvan IV,GOODBOYBD,Ahri,아 나이뜨,Miss Fortune,Kle3,Karma,IgNar,Wukong,졸며게임,Lillia,L1sure,Lucian,디알엑스 제트,Samira,unlucky boy1,Nami,Mocha
5471006946,win,Ranked Solo,2021-09-23 22:19:52,32m 2s,5,4,11,4.00:1,Double Kill,MVP,Lillia,Grandmaster,empty,Riven,오동1,Lillia,L1sure,Sylas,사랑이 하고싶어,Aphelios,누쇤퍅,Lulu,SHCH0,Trundle,Yorick,Graves,GOODBOYBD,Zoe,미소녀우진,Ezreal,N0T Angry,Bard,Destiny
5469710490,win,Ranked Solo,2021-09-23 00:47:39,26m 18s,3,4,7,2.50:1,empty,empty,Talon,Grandmaster,empty,Kennen,간다라쿤다,Xin Zhao,Gen G Clid,Sylas,피자호팡,Varus,SPG BaeKHo,Maokai,Practice,Cassiopeia,DK Kingdom,Talon,L1sure,Irelia,미북이,Kai'Sa,이기고오쉽당,Trundle,전서방 닭갈비
5468683478,win,Ranked Solo,2021-09-22 18:10:31,20m 43s,2,2,9,5.50:1,empty,empty,Qiyana,Grandmaster,empty,Jayce,fa 01 top,Qiyana,L1sure,Kassadin,LunaLina,Miss Fortune,원딜연습중입니닷,Braum,교육잘받은도구,Gwen,ke bei,Zac,xiao adc,Yone,00000000002,Jhin,tnedifnoc syawla,Rakan,언젠가만나게되는
5468554279,win,Ranked Solo,2021-09-22 17:35:39,32m 34s,4,8,15,2.38:1,empty,empty,Lillia,Grandmaster,empty,Sylas,wodesry,Lee Sin,Gen G Clid,Galio,몽키 D 짱구,Miss Fortune,shenzhenshaoye,Seraphine,옆동산외계인,Fiora,fa 01 top,Lillia,L1sure,Graves,미북이,Lucian,viper3,Rakan,DFM GAENG
5468462343,win,Ranked Solo,2021-09-22 16:21:53,15m 14s,1,2,9,5.00:1,empty,empty,Lulu,Grandmaster,empty,Camille,애넨차피이해못해,Nidalee,nodfan,Graves,kaixin1dian,Miss Fortune,듀오강의코코팀,Lulu,L1sure,Jayce,wodesry,Viego,Love dont stop,Zoe,쪼렙이다말로하자,Lucian,42141321,Amumu,옆동산외계인
5468313381,win,Ranked Solo,2021-09-22 15:46:37,22m 25s,4,2,7,5.50:1,empty,empty,Lee Sin,Grandmaster,empty,Fiora,h ke pa,Poppy,Iove poppy,Ryze,Zhuanxinzhizhi,Cassiopeia,Chang Min ,Galio,레일리리,Jayce,Hakunaa Matata,Lee Sin,L1sure,Orianna,heisiwodezuiai,Tristana,Betty9,Amumu,kukuking
5468147947,win,Ranked Solo,2021-09-22 14:21:54,20m 38s,0,3,6,2.00:1,empty,empty,Leona,Grandmaster,empty,Riven,Azhy,Lee Sin,우울적울컥,Anivia,MIDKlNG,Ziggs,듀오강의코코팀,Leona,L1sure,Mordekaiser,Gen G Burdol,Graves,Love dont stop,Lulu,LunaLina,Lucian,JJ0ng 묻었네,Braum,호잇이
5467265732,win,Ranked Solo,2021-09-22 00:59:53,24m 21s,12,2,10,11.00:1,Triple Kill,MVP,Lillia,Grandmaster,empty,Ryze,BRO Listo,Kindred,stupid yekai,Lulu,마이구밍사주세요,Ezreal,Rumor22,Pyke,DWG Bubbling,Gangplank,나의 치유 게임,Lillia,L1sure,Lucian,Slowly Song,Xayah,너 뭐하는거냐,Blitzcrank,Pooh n Bene
5466760988,win,Ranked Solo,2021-09-21 21:29:23,21m 18s,1,2,19,10.00:1,empty,empty,Lulu,Grandmaster,empty,Fiora,ke bei,Taliyah,나는변신할것이다,Zed,Z2D04,Aphelios,Gen G Ruler,Karma,AASSH,Camille,Gen G Burdol,Nidalee,젠지 영재,Sylas,godyaos,Ashe,아이린,Lulu,L1sure
5466640976,win,Ranked Solo,2021-09-21 20:54:32,21m 58s,1,2,10,5.50:1,empty,empty,Lulu,Grandmaster,empty,Irelia,IRELKlNG,Zed,나는변신할것이다,Syndra,JJ0ng 묻었네,Lucian,아이린,Lulu,L1sure,Fiora,AASSH,Lee Sin,Gen G Clid,Zoe,BRO Yaharong,Caitlyn,zxcsazxcazdz,Thresh,ke bei
5465809481,win,Ranked Solo,2021-09-21 15:14:10,27m 55s,7,0,12,Perfect,MVP,empty,Zac,Grandmaster,empty,Fiora,sword god14,Karthus,Return To U,Irelia,By 불비,Miss Fortune,폭탄치우기,Thresh,Practice,Quinn,살퀸레,Zac,L1sure,Akshan,워 드,Ziggs,평범한 숟가락,Soraka,하나둘둘셋셋셋
5465794545,lose,Ranked Solo,2021-09-21 14:36:36,26m 30s,2,6,5,1.17:1,empty,empty,Ziggs,Grandmaster,empty,Quinn,카사돌,Zac,역시폭군,Galio,퀸 세연,Lucian,고구마태풍,Nami,하나둘둘셋셋셋,Irelia,huntiandi1,Lee Sin,Return To U,Sylas,놀이터여행자,Ziggs,L1sure,Bard,Gen G Burdol
5465062092,win,Ranked Solo,2021-09-21 02:02:19,20m 6s,8,2,12,10.00:1,Triple Kill,MVP,Lillia,Grandmaster,empty,Darius,hfubVHDVuAWVF ,Lillia,L1sure,Cassiopeia,shamoluotuo,Ashe,lucky whaleshark,Sett,IgNar,Warwick,수희0,Olaf,jingshen qiang,LeBlanc,디알엑스 제트,Samira,향 깃,Amumu,고등학생
5464884519,win,Ranked Solo,2021-09-21 00:20:01,23m 49s,5,1,7,12.00:1,empty,empty,Lillia,Grandmaster,empty,Cassiopeia,shamoluotuo,Lee Sin,RiHoo,Yone,uppi,Ezreal,hggbexrloo,Rakan,BigFour44,Fiora,ke bei,Lillia,L1sure,Zoe,Sutkressuree,Kalista,김밥오이빼고,Lulu,메이 츄르 좋아해
5464792867,lose,Ranked Solo,2021-09-20 23:20:49,24m 14s,8,5,2,2.00:1,ACE,empty,Lillia,Grandmaster,empty,Graves,Hakunaa Matata,Lillia,L1sure,Aurelion Sol,cxybaby,Lucian,Imaokai,Rakan,Seize the day11,Rumble,모두모두항복하걸,Lee Sin,orah,Kassadin,아이린,Miss Fortune,AF AiRu,Karma,zxczcxzczcxzcczx
5458357871,lose,Ranked Solo,2021-09-18 01:11:41,22m 3s,0,8,6,0.75:1,empty,empty,Thresh,Grandmaster,empty,Jax,FA Decky,Lillia,Ellyyy,Irelia,By 불비,Aphelios,메 피,Thresh,L1sure,Graves,AASSH,Lee Sin,06 05 19,Twisted Fate,CIoudburst,Kai'Sa,irasu1,Blitzcrank,woshissm
5456785526,win,Ranked Solo,2021-09-17 14:22:16,28m 30s,8,0,16,Perfect,MVP,empty,Lillia,Master,empty,Jayce,내점수에잠이오냐,Lee Sin,리프버블,Sylas,realion,Ezreal,sao ma do duoc,Braum,Tumble Delighted,Wukong,But you,Lillia,L1sure,Lucian,걸그룹노래맞추기,Kai'Sa,돌아온탄산,Amumu,hhjbb
5455041495,win,Ranked Solo,2021-09-16 13:47:37,19m 0s,8,1,6,14.00:1,Double Kill,MVP,Talon,Grandmaster,empty,Kennen,wu shi fa sheng,Talon,L1sure,Sylas,Tangyuando,Miss Fortune,Imaokai,Amumu,tlvekdlrlrh,Lee Sin,오뚜기3분미트볼,Xin Zhao,망토와단검,Ryze,heisiwodezuiai,Ezreal,AD JJoon,Taliyah,레일리리
5454213724,lose,Ranked Solo,2021-09-15 21:51:58,23m 11s,5,6,3,1.33:1,empty,empty,Talon,Grandmaster,empty,Camille,공부하기시러요,Lee Sin,20200902start,Ryze,미북이,Kai'Sa,3donghezecaoxian,Leona,토낀 토끼,Jax,But you,Talon,L1sure,Lux,암흑 우주 럭스,Ezreal,Saebyuck,Braum,한영원
5453996400,win,Ranked Solo,2021-09-15 21:11:30,22m 7s,2,4,9,2.75:1,empty,empty,Lillia,Grandmaster,empty,Irelia,Shadow HamBak ,Lillia,L1sure,Yone,총을 다루는 소녀,Ezreal,짐승 짭종 인간,Braum,woshifeji,Fiora,Saint Diana,Hecarim,oabco,Zoe,BRO Yaharong,Jinx,원딜연습중입니닷,Amumu,옆동산외계인
5453897868,lose,Ranked Solo,2021-09-15 20:38:07,36m 52s,3,7,12,2.14:1,empty,empty,Gnar,Grandmaster,empty,Gnar,L1sure,Nidalee,3donghezecaoxian,Jayce,Naehyun,Varus,viper3,Amumu,심리 건들지마,Riven,오동1,Viego,끼릭끼리릭,Sylas,사랑이 하고싶어,Aphelios,길고먼여행지,Thresh,아이러니zz
5453903710,win,Ranked Solo,2021-09-15 19:53:04,19m 48s,2,3,7,3.00:1,empty,empty,Lillia,Grandmaster,empty,Fiora,Saint Diana,Lee Sin,싸움 기피증,Zoe,213435,Lucian,고구마태풍,Nami,Daiskii,Riven,오동1,Lillia,L1sure,Viego,NEED HER,Ashe,길고먼여행지,Janna,qweiowqeo
5453689628,win,Ranked Solo,2021-09-15 17:53:03,15m 22s,7,1,7,14.00:1,Double Kill,MVP,Lillia,Grandmaster,empty,Riven,순뀨박,Lillia,L1sure,Ziggs,원딜연습중입니닷,Akshan,Naehyun,Rakan,전서방 닭갈비,Trundle,미드잘하는정글러,Talon,nodfan,Galio,Iove doeui,Vayne,hong he wo de,Amumu,powfu boy
5453684052,win,Ranked Solo,2021-09-15 17:15:48,24m 17s,8,4,11,4.75:1,empty,empty,Rumble,Grandmaster,empty,Fiora,h ke pa,Xin Zhao,oabco,Akali,KT VicLa,Kai'Sa,1v2or1v3,Maokai,끼릭끼리릭,Graves,KT Castle,Rumble,L1sure,Irelia,IRELKlNG,Tristana,BulyStaL,Leona,아이러니zz
5453601053,lose,Ranked Solo,2021-09-15 15:19:46,25m 8s,4,5,5,1.80:1,ACE,empty,Talon,Grandmaster,empty,Jayce,04년생 원숭이띠,Rek'Sai,우울적울컥,Xerath,Tangyuando,Lee Sin,짐승 짭종 인간,Senna,SPG BaeKHo,Fiora,어리고싶다,Talon,L1sure,Taliyah,놀이터여행자,Kai'Sa,평범한 숟가락,Rakan,Honpi
5453497119,lose,Ranked Solo,2021-09-15 14:46:41,37m 21s,17,2,13,15.00:1,Triple Kill,ACE,Lillia,Master,empty,Rumble,래물이,Lillia,L1sure,Sett,못할 때도 있지,Miss Fortune,또깡98,Zilean,시계선생님,Graves,HLE Baut,Ekko,wushugexingcheng,Yone,리얼쿠쿠루쿠쿠쿸,Seraphine,평범한 숟가락,Maokai,지누캐리
5453474993,lose,Ranked Solo,2021-09-15 14:01:03,21m 36s,3,5,5,1.60:1,empty,empty,Lillia,Grandmaster,empty,Jayce,Gen G Rascal,Lillia,L1sure,Zed,너혹시엘소드하니,Kai'Sa,zszzz,Alistar,천많정하,Cassiopeia,Chang Min ,Ekko,LSB DDahyuk,Graves,HLE Baut,Xayah,평범한 숟가락,Rakan,총을 다루는 소녀
5452709420,win,Ranked Solo,2021-09-14 23:54:15,31m 13s,7,6,12,3.17:1,Triple Kill,empty,Talon,Master,empty,Ornn,쿠 리,Talon,L1sure,Ryze,HLE Mask,Lucian,폭탄치우기,Lulu,Gen G Lospa,Sett,i am Decade,Ekko,DK vvv,Yone,Gengarnold,Miss Fortune,zxcsazxcazdz,Trundle,BRO Jeong Hoon
5452321344,win,Ranked Solo,2021-09-14 19:21:16,32m 46s,7,7,15,3.14:1,Double Kill,empty,Lillia,Grandmaster,empty,Camille,이도류,Lillia,L1sure,Sylas,달리기 왕,Jinx,듀오 구글 제드팀,Bard,Let me sup,Fiora,KT Castle,Diana,woshifeji,Zed,Z2D04,Draven,BRO Hena,Rell,MNTNMNTNM
5452086308,lose,Ranked Solo,2021-09-14 17:06:52,24m 37s,1,4,5,1.50:1,empty,empty,Talon,Grandmaster,empty,Fiora,폼 팡,Talon,L1sure,Zoe,KT Castle,Aphelios,Gen G Dice,Thresh,Bvoyy,Kennen,Trisak,Jarvan IV,JD fans,Akshan,Naehyun,Samira,Mung,Rell,DFM GAENG
5451204835,lose,Ranked Solo,2021-09-14 00:13:49,25m 6s,0,5,5,1.00:1,empty,empty,Gnar,Grandmaster,empty,Gnar,L1sure,Viego,미드잘하는정글러,Akali,혜지명1,Ezreal,RiHoo,Maokai,끼릭끼리릭,Kennen,뽀송뽀숑비숑,Qiyana,a new beginn1ng,Azir,EIderwood Azir,Vayne,T1 Gumayusi,Rell,MNTNMNTNM
5451125921,lose,Ranked Solo,2021-09-13 23:24:58,27m 5s,6,5,6,2.40:1,ACE,empty,Talon,Grandmaster,empty,Poppy,수희0,Talon,L1sure,Irelia,사랑이 하고싶어,Ziggs,Bvoyy,Leona,젠지 영재,Tryndamere,유튜브 엉덩국곰,Rek'Sai,우울적울컥,Ryze,LSB Winter,Twitch,짐승 잡종 인간,Alistar,Destiny
5451041847,lose,Ranked Solo,2021-09-13 22:50:19,20m 41s,3,6,2,0.83:1,empty,empty,Zed,Grandmaster,empty,Poppy,수희0,Lee Sin,who do you love,Orianna,213435,Tristana,almond bon bon,Alistar,Destiny,Sett,Jzzcjmzh,Zed,L1sure,Kog'Maw,Naehyun,Jinx,RiHoo,Gragas,고등학생
5450157790,lose,Ranked Solo,2021-09-13 16:46:18,30m 5s,2,5,3,1.00:1,empty,empty,Lee Sin,Grandmaster,empty,Gnar,Gen G Burdol,Lee Sin,L1sure,Karma,배터리충전해,Ziggs,Bvoyy,Leona,snzll,Sett,미드조지기,Jarvan IV,Hengzzz,Syndra,Tangyuando,Samira,impupupu,Alistar,DFM GAENG
5445893883,win,Ranked Solo,2021-09-11 14:53:51,28m 50s,9,2,17,13.00:1,Double Kill,empty,Lee Sin,Master,empty,Kennen,dustmqdyd12,Lee Sin,L1sure,Sylas,아크샨밴의 신,Varus,ljq1,Thresh,Shadow Winsome,Jax,한타 잘하고싶당,Qiyana,난 워낙 노빠꾸라,Orianna,피자호팡,Kalista,자장면잠봉당수육,Amumu,DWG BeryL
5445803655,win,Ranked Solo,2021-09-11 13:44:26,33m 15s,5,4,24,7.25:1,Double Kill,empty,Jarvan IV,Grandmaster,empty,Jayce,강하다 별,Jarvan IV,L1sure,Lucian,tulufan,Ziggs,베인장인요맨,Galio,yyyyyzyyy,Irelia,Saint Diana,Karthus,zhao si ma gun,Ezreal,으 하하 맛 있 어,Samira,아이러니zz,Rakan,all my days
5444071704,win,Ranked Solo,2021-09-10 18:40:09,23m 50s,9,4,9,4.50:1,empty,empty,Lee Sin,Grandmaster,empty,Sett,LSB DDahyuk,Diana,DRX 홍창현,Tryndamere,Tangyuando,Lucian,Azhy,Leona,Let me sup,Rumble,씨야보람,Lee Sin,L1sure,Sylas,디알엑스 제트,Samira,zxcsazxcazdz,Alistar,홈런볼 다 내꺼
5443977788,win,Ranked Solo,2021-09-10 17:59:23,15m 19s,1,0,9,Perfect,MVP,empty,Xin Zhao,Grandmaster,empty,Fiora,HLE Baut,Xin Zhao,L1sure,Syndra,피자호팡,Caitlyn,BRO Hena,Thresh,vlrhsgody,Ryze,BRO Yaharong,Lee Sin,woshishui,Gragas,dustmqdyd12,Ezreal,Mung,Lulu,승지부기
5430767776,win,Ranked Solo,2021-09-03 14:18:30,20m 43s,1,3,13,4.67:1,empty,empty,Thresh,Grandmaster,empty,Jayce,Two more Chance,Lee Sin,Gen G Peyz,Zoe,Gen G Quid,Ziggs,디알엑스 제트,Karma,Tangyuando,Graves,BRO TaNa,Zac,역시폭군,Ryze,T1 M1reu,Aphelios,Lpc11,Thresh,L1sure
5430734727,win,Ranked Solo,2021-09-03 13:51:16,27m 30s,5,3,15,6.67:1,empty,empty,Leona,Grandmaster,empty,Lulu,Fiora,Lee Sin,Gen G Winner,Zoe,북한출신대홍단왕감자,Aphelios,Lpc11,Leona,L1sure,Fiora,77GameZting,Graves,강철기사단헤카림,Ryze,Gen G Quid,Ashe,참 몬났다,Karma,강아지도 좋아
5430042695,win,Ranked Solo,2021-09-03 00:56:45,29m 43s,5,8,10,1.88:1,empty,empty,Rumble,Challenger,empty,Jayce,Burdoll,Lee Sin,포식자,Zoe,KT VicLa,Ziggs,디알엑스 제트,Thresh,KT Way,Irelia,워 드,Rumble,L1sure,Tryndamere,갱붕이,Cassiopeia,DK Kingdom,Alistar,zxczcxzczcxzcczx
5429345555,lose,Ranked Solo,2021-09-02 17:15:27,20m 18s,3,1,2,5.00:1,empty,empty,Diana,Grandmaster,empty,Lee Sin,Weasely,Ekko,woshifeji,Irelia,신이되고싶었는데,Xayah,irasu1,Alistar,전서방 닭갈비,Camille,울라프뿌삐워웍,Diana,L1sure,Galio,CIoudburst,Ezreal,KT 5kld,Rakan,기모링딩동1
5429341069,lose,Ranked Solo,2021-09-02 16:40:14,23m 47s,9,5,2,2.20:1,Double Kill,empty,Rumble,Grandmaster,empty,Gragas,BRO Jin0,Viego,Diabloi,Lee Sin,zzzzzzzzzzzz111,Ashe,소년가장 원딜,Leona,정훈이의 모험,Irelia,2718255170930272,Rumble,L1sure,Jayce,울라프뿌삐워웍,Ezreal,초코땡이,Karma,전서방 닭갈비
5428976472,win,Ranked Solo,2021-09-02 16:08:19,30m 52s,7,2,8,7.50:1,MVP,empty,Kai'Sa,Grandmaster,empty,Sylas,울라프뿌삐워웍,Lee Sin,zzzzzzzzzzzz111,Syndra,LSB Winter,Ezreal,소년가장 원딜,Rakan,정훈이의 모험,Lissandra,FA Azhi,Ekko,Diabloi,Talon,Ztzzz,Kai'Sa,L1sure,Lulu,숨지마라 룰루
5429061319,lose,Ranked Solo,2021-09-02 15:22:25,26m 33s,4,7,16,2.86:1,Double Kill,empty,Jarvan IV,Grandmaster,empty,Jayce,04년생 원숭이띠,Kindred,woshifeji,Azir,EIderwood Azir,Aphelios,총을 다루는 소녀,Gragas,wodesry,Jax,4초스크류,Jarvan IV,L1sure,Zoe,나도 행복하자,Ziggs,T1 R ADC,Trundle,qweiowqeo
5428873237,lose,Ranked Solo,2021-09-02 13:48:00,18m 48s,2,5,1,0.60:1,empty,empty,Viego,Grandmaster,empty,Jax,한타 잘하고싶당,Lee Sin,Jzzcjmzh,LeBlanc,총을 다루는 소녀,Kai'Sa,원 할수,Rakan,11baby,Shen,zhao si ma gun,Viego,L1sure,Zoe,디알엑스 제트,Ezreal,어린이즈,Leona,LSB Utility
5427217259,win,Ranked Solo,2021-09-01 13:42:31,19m 37s,2,2,9,5.50:1,empty,empty,Lee Sin,Grandmaster,empty,Malphite,Jian ren bizui,Lee Sin,L1sure,Ryze,DK Pullbae,Jinx,고구마태풍,Thresh,11baby,Wukong,h ke pa,Viego,미드잘하는정글러,Zoe,으하핫자유다,Aphelios,SPG BaeKHo,Tahm Kench,boycodondn123
5426585789,win,Ranked Solo,2021-09-01 02:02:49,34m 43s,5,3,17,7.33:1,empty,empty,Twisted Fate,Grandmaster,empty,Rumble,모두모두항복하걸,Lee Sin, 엘 림,Twisted Fate,L1sure,Varus,SPG BaeKHo,Karma,Kimwinter,Jayce,공부하기시러요,Viego,우울적울컥,Zoe,마레리트,Ziggs,항상배고픈코그모,Thresh,Secret
5426593415,lose,Ranked Solo,2021-09-01 01:21:07,15m 21s,3,3,0,1.00:1,empty,empty,Diana,Grandmaster,empty,Yone,Pz ZZang,Diana,L1sure,Ahri,마레리트,Ashe,가민준,Trundle,manmanO,Renekton,용호야,Jarvan IV,Hengzzz,Azir,BRO Yaharong,Varus,누쇤퍅,Bard,Hermessss
5425800329,lose,Ranked Solo,2021-08-31 17:55:48,15m 40s,1,5,1,0.40:1,empty,empty,Viego,Grandmaster,empty,Wukong,h ke pa,Viego,L1sure,Lissandra,BRO Loopy,Kai'Sa,짐승 잡종 인간,Bard,Let me sup,Jayce,DRX1234,Lee Sin,미드잘하는정글러,LeBlanc,갱붕이,Varus,SPG BaeKHo,Karma,fuzhu carry
5423936219,lose,Ranked Solo,2021-08-30 17:51:17,13m 3s,1,3,2,1.00:1,empty,empty,Jarvan IV,Grandmaster,empty,Wukong,BRO LukaLux,Jarvan IV,L1sure,Sylas,Hermessss,Aphelios,누쇤퍅,Azir,20time,Kennen,윤용호,Lee Sin,Zhuanxinzhizhi,LeBlanc,00000000002,Jinx,pingwozhijiedian,Thresh,krole
5423820932,win,Ranked Solo,2021-08-30 15:58:49,31m 41s,7,7,9,2.29:1,Double Kill,empty,Diana,Challenger,empty,Lee Sin,DK Chasy,Diana,L1sure,Graves, 엘 림,Ziggs,홀플레인,Bard,Let me sup,Camille,Fox B Osu,Xin Zhao,46A,LeBlanc,jkjkjkjkk,Lucian,wodex1nhaoleng,Rakan,DWG Muru
5423724406,lose,Ranked Solo,2021-08-30 14:37:48,13m 43s,0,3,3,1.00:1,empty,empty,Jarvan IV,Grandmaster,empty,Jax,한타 잘하고싶당,Viego,우울적울컥,Zoe,현주입니다,Aphelios,hggbexrloo,Blitzcrank,언젠가만나게되는,Renekton,BRO LukaLux,Jarvan IV,L1sure,Syndra,7777케이,Ashe,홀플레인,Gragas,four year
5423721224,win,Ranked Solo,2021-08-30 14:15:57,27m 35s,4,2,14,9.00:1,empty,empty,Jarvan IV,Grandmaster,empty,Riven,씨야보람,Jarvan IV,L1sure,LeBlanc,tulufan,Aphelios,SPG BaeKHo,Blitzcrank,언젠가만나게되는,Aatrox,BRO LukaLux,Kindred,Liiv OnFleek,Lissandra,현주입니다,Ziggs,홀플레인,Leona,의빈아열심히살자
5420510982,win,Ranked Solo,2021-08-28 23:38:18,31m 27s,4,8,6,1.25:1,empty,empty,Renekton,Grandmaster,empty,Dr. Mundo,DK Kingdom,Gragas,배터리충전해,Lucian,BRO Yaharong,Varus,jkjkjkjkk,Alistar,돼지와함께춤을a,Renekton,L1sure,Nidalee,GOODBOYBD,Gangplank,asdfgasdf,Kindred,아프리카 아라드,Heimerdinger,참새크면비둘기
5420350418,win,Ranked Solo,2021-08-28 22:49:18,25m 55s,4,2,13,8.50:1,empty,empty,Jarvan IV,Grandmaster,empty,Gragas,asdfgasdf,Lee Sin,DRX 홍창현,Zoe,현주입니다,Kindred,아라드,Trundle,Asaka1,Jayce,Trisak,Jarvan IV,L1sure,Azir,뮤즈아쿠아니지동,Ezreal,돼지와함께춤을a,Leona,Secret
5420252074,win,Ranked Solo,2021-08-28 22:13:05,27m 33s,2,3,9,3.67:1,Double Kill,empty,Leona,Grandmaster,empty,Riven,오동1,Kayn,xhr,Ziggs,혜지명1,Draven,weuyuhajshdk,Thresh,점수나락감,Jayce,asdfgasdf,Nidalee,Fu4kTheworld,Zoe,쪼렙이다말로하자,Ezreal,impupupu,Leona,L1sure
5420202597,win,Ranked Solo,2021-08-28 21:37:29,34m 42s,4,3,20,8.00:1,empty,empty,Jarvan IV,Grandmaster,empty,Pantheon,permaban991116,Jarvan IV,L1sure,Ryze,총을 다루는 소녀,Ashe,impupupu,Lulu,예 현,Riven,오동1,Lee Sin,Zhuanxinzhizhi,Zoe,Homies fan1,Xayah,레나시엔,Seraphine,짜요짜요먹고싶어
5418701329,lose,Ranked Solo,2021-08-28 01:31:44,23m 32s,4,4,5,2.25:1,ACE,empty,Diana,Grandmaster,empty,Sylas,화창한날맑은구름,Diana,L1sure,Talon,heewon,Varus,irasu1,Alistar,독기품기,Kennen,깨달음을얻은남자,Kayn,앤 쥐,Camille,넘어진 심슨,Syndra,sao ma do duoc,Trundle,11baby
5418582433,lose,Ranked Solo,2021-08-28 00:53:12,33m 5s,6,10,12,1.80:1,empty,empty,Lee Sin,Master,empty,Jayce,jingdaijieshu,Lee Sin,L1sure,Sylas,건강하고싶다,Ezreal,미로 속 미르,Leona,BSM 정재훈,Quinn,04년생 원숭이띠,Elise,호 신 ,Talon,우울1,Kalista,Permaban10555151,Alistar,대포내꺼 퉤퉤
5418504502,win,Ranked Solo,2021-08-28 00:11:48,29m 41s,8,10,13,2.10:1,Double Kill,empty,Diana,Grandmaster,empty,Renekton,04년생 원숭이띠,Karthus,Return To U,Galio,Lueshizhi777,Tristana,DRX1234,Pyke,CIozerr,Camille,간다라쿤다,Diana,L1sure,Sett,FATE,Varus,깨달음을얻은남자,Alistar,kwdcjrsgm
5416939536,lose,Ranked Solo,2021-08-27 13:47:17,27m 19s,9,3,7,5.33:1,Double Kill,ACE,Viego,Grandmaster,empty,Poppy,TuTuTuTuT,Viego,L1sure,Sylas,DK Pullbae,Yasuo,Azhy,Qiyana,참새크면비둘기,Camille,따봉 람머스,Diana,미드조지기,Irelia,jkjkjkjkk,Mordekaiser,deokdam,Trundle,고등학생
5416567295,lose,Ranked Solo,2021-08-27 01:55:16,26m 29s,5,2,4,4.50:1,empty,empty,Gnar,Grandmaster,empty,Irelia,특수교육 전공,Sejuani,DRX 홍창현,Zoe,식혜커플존버 ,Varus,Kle3,Karma,fuzhu carry,Gnar,L1sure,Lee Sin,JustLikeThatKR,Viktor,전설이 될 남자,Ezreal,가락1,Lulu,qweiowqeo
5415282781,win,Ranked Solo,2021-08-26 13:16:45,31m 40s,4,2,13,8.50:1,MVP,empty,Lee Sin,Grandmaster,empty,Fiora,Crupe,Lee Sin,L1sure,Zoe,7777케이,Lucian,베인장인요맨,Lulu,qweiowqeo,Camille,1582485,Zac,jingshen qiang,Sylas,DK Pullbae,Varus,skwhadlrlffo,Tahm Kench,Tumble Delighted
5413963025,lose,Ranked Solo,2021-08-25 18:45:38,25m 10s,5,8,3,1.00:1,Double Kill,empty,Viego,Grandmaster,empty,Camille,1Conor McGregor2,Jarvan IV,Zhuanxinzhizhi,LeBlanc,디알엑스 제트,Twitch,deokdam,Lulu,숨지마라 룰루,Fiora,doleimepa,Viego,L1sure,Syndra,00000000002,Aphelios,weuyuhajshdk,Trundle,참새크면비둘기
5413631482,lose,Ranked Solo,2021-08-25 12:22:37,20m 48s,2,6,4,1.00:1,empty,empty,Lee Sin,Grandmaster,empty,Kennen,ke xi mei ru guo,Lee Sin,L1sure,Anivia,페이커는 신이다,Aphelios,Imaokai,Thresh,낭만 임기택,Shen,zhao si ma gun,Diana,미드잘하는정글러,Yone,2005 07 06,Yasuo,앤 쥐,Rell,DFM GAENG
5411808101,win,Ranked Solo,2021-08-24 17:27:07,22m 19s,12,2,6,9.00:1,Triple Kill,MVP,Lee Sin,Grandmaster,empty,Renekton,강하다 별,Lee Sin,L1sure,Anivia,페이커는 신이다,Aphelios,Asaka1,Lulu,숨지마라 룰루,Lucian,jingdaijieshu,Elise,permaban991112,Qiyana,구글 검색 제드팀,Samira,sibaaaaaaaaaaa,Leona,유경완짜증나
5411822786,win,Ranked Solo,2021-08-24 16:45:54,21m 5s,0,0,8,Perfect,empty,empty,Gnar,Grandmaster,empty,Gnar,L1sure,Gragas,700125,Camille,넘어진 심슨,Ashe,참 몬났다,Alistar,선생님 맛없어요,Jayce,crycrystal,Karthus,미드잘하는정글러,Lucian,KT R MID,Varus,zxcsazxcazdz,Karma,잭 호
