gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5473002275,lose,Ranked Solo,2021-09-24 20:47:19,25m 20s,2,8,9,1.38:1,empty,empty,Amumu,Master,empty,Lee Sin,wu shi fa sheng,Graves,먼 여행을 떠나,Akali,213435,Draven,skwhadlrlffo,Amumu,DWG BeryL,Riven,T1 Canna,Kayn,JustLikeThatKR,Galio,langmanbusi,Lucian,Gen G Envy,Blitzcrank,햄스터쳇바퀴인생
5472167458,win,URF,2021-09-24 15:01:40,16m 54s,10,6,11,3.50:1,Double Kill,empty,Malzahar,empty,empty,Nidalee,뱅 굴,Blitzcrank,불족발먹고싶다,Kai'Sa,국밥먹고오른,Twitch,Royalty of top,Shaco,오민오,Lillia,강꼬릴,Lee Sin,DWG Ghost,Malzahar,DWG BeryL,Vayne,DK ShowMaker,Akali,엉덩이너무커
5471190826,win,ARAM,2021-09-23 23:11:13,14m 33s,4,2,47,25.50:1,empty,empty,Yuumi,empty,empty,Kayle,퍼킹애쉬홀,Aphelios,Even if Itry,Amumu,성 래,Jayce,골드레빗,Senna,번개빠따,Pyke,PMD91,Neeko,양대인,Sivir,우하림,Yuumi,DWG BeryL,Vladimir,푸쉬앞무빙선턴맨
5469759598,win,Ranked Solo,2021-09-23 02:08:33,31m 57s,3,12,20,1.92:1,empty,empty,Seraphine,Diamond 2,empty,Lucian,TOPKING,Lillia,Ma1ibu night,Talon,화원 아기,Miss Fortune,xixixlxix,Seraphine,DWG BeryL,Gangplank,파 고,Taliyah,로이갓전용노예,Sylas,youtube 비브이,Aphelios,BerylSKS,Thresh,FNmhoMmaITl8Z50I
5468280443,lose,Ranked Solo,2021-09-22 14:37:04,20m 35s,3,8,10,1.63:1,empty,empty,Amumu,Master,empty,Fiora,huntiandi1,Nunu & Willump,2780491374142752,Lissandra,200731,Samira,long yan jing yi,Sett,기모링딩동1,Jayce,모두모두항복하길,Talon,haoye1,Zoe,xwbzgsjsd,Lucian,원 할수,Amumu,DWG BeryL
5468183209,lose,Ranked Solo,2021-09-22 13:49:45,19m 10s,1,6,7,1.33:1,empty,empty,Amumu,Master,empty,Kennen,oilf,Jarvan IV,20200902start,Ryze,7777케이,Samira,고구마태풍,Alistar,김은지전용노예,Jax,wuliaodexianshi,Lee Sin,xwbzgsjsd,Sylas,또깡98,Cassiopeia,라데시 너어,Amumu,DWG BeryL
5458454342,lose,Ranked Solo,2021-09-18 01:50:30,24m 31s,3,8,11,1.75:1,empty,empty,Amumu,Master,empty,Renekton,Savage,Sejuani,woshissm,Lucian,은정우,Heimerdinger,Spit in my mouth,Amumu,DWG BeryL,Tryndamere,모두모두항복하길,Taliyah,나는변신할것이다,Camille,사랑해 쩡이,Kai'Sa,bai si yyds,Lulu,엔 햐
5453531779,lose,Ranked Solo,2021-09-15 15:01:01,15m 12s,2,3,5,2.33:1,empty,empty,Rakan,Grandmaster,empty,Fiora,ke bei,Lee Sin,dangyadangyadang,LeBlanc,쿠자니자니,Lucian,Gen G Ruler,Amumu,항상배고픈코그모,Jax,But you,Graves,이러다 다 D져,Lissandra,Jh2nhj2rjoh,Draven,kwqejksad,Rakan,DWG BeryL
5450822979,lose,Ranked Solo,2021-09-13 20:11:07,15m 23s,0,2,6,3.00:1,empty,empty,Trundle,Master,empty,Renekton,04년생 원숭이띠,Ekko,싸움 기피증,Irelia,IRELKlNG,Kai'Sa,안녕 나는 성인,Yuumi,메이 츄르 좋아해,Yone,x지존킹왕짱요네x,Viego,두꺼비압수,Zoe,KT R MID,Samira,lIIIIlIIlIIIlIl,Trundle,DWG BeryL
5450619518,lose,Ranked Solo,2021-09-13 19:46:18,20m 43s,1,5,3,0.80:1,empty,empty,Amumu,Grandmaster,empty,Ryze,StarSpring,Xin Zhao,Lee weon bin,Galio,happygameII,Kai'Sa,향 깃,Morgana,MNTNMNTNM,Kennen,HLE Baut,Graves,woshishui,Yasuo,Aileri,Samira,HLE Gift1,Amumu,DWG BeryL
5450092891,win,Ranked Solo,2021-09-13 13:45:20,15m 39s,3,0,7,Perfect,empty,empty,Amumu,Master,empty,Graves,BRO TaNa,Nidalee,DRX 홍창현,Gnar,A2ST,Ezreal,JJ0ng 묻었네,Amumu,DWG BeryL,Jayce,elole,Taliyah,아크샨밴의 신,Sylas,Tangyuando,Ziggs,rekresreb,Rakan,태기베어
5445893883,lose,Ranked Solo,2021-09-11 14:53:51,28m 50s,0,7,9,1.29:1,empty,empty,Amumu,Master,empty,Kennen,dustmqdyd12,Lee Sin,L1sure,Sylas,아크샨밴의 신,Varus,ljq1,Thresh,Shadow Winsome,Jax,한타 잘하고싶당,Qiyana,난 워낙 노빠꾸라,Orianna,피자호팡,Kalista,자장면잠봉당수육,Amumu,DWG BeryL
5445862451,win,Ranked Solo,2021-09-11 13:45:49,39m 26s,4,7,24,4.00:1,empty,empty,Amumu,Master,empty,Sett,zszzz,Nunu & Willump,0p챔만하는사람,Ryze,CIozerr,Ezreal,RiHoo,Amumu,DWG BeryL,Jayce,dustmqdyd12,Taliyah,     la ji game,Tryndamere,Tangyuando,Kog'Maw,kuledougensui,Seraphine,짜요짜요먹고싶어
5444989532,lose,Ranked Solo,2021-09-11 01:03:46,40m 5s,5,8,20,3.13:1,ACE,empty,Amumu,Grandmaster,empty,Camille,전상득,Kha'Zix,20200902start,Azir,EIderwood Azir,Kalista,impupupu,Amumu,DWG BeryL,Riven,오동1,Lillia,sao ma do duoc,Orianna,Pnpm,Ezreal,RiHoo,Leona,tlvekdlrlrh
5442532840,lose,Ranked Solo,2021-09-09 20:02:54,25m 26s,0,8,6,0.75:1,empty,empty,Tahm Kench,Grandmaster,empty,Riven,오동1,Ekko,Juhana,Irelia,GGGori,Ezreal,fa 01 top,Tahm Kench,DWG BeryL,Jayce,윤용호,Kha'Zix,와인 한잔 주쎄요,Ryze,BRO Yaharong,Aphelios,Betty9,Thresh,BRO Delight
5442188129,lose,Ranked Solo,2021-09-09 14:36:22,16m 31s,0,6,3,0.50:1,empty,empty,Leona,Grandmaster,empty,Kassadin,LunaLina,Zed,아크샨밴의 신,Vladimir,A2ST,Miss Fortune,42141321,Leona,DWG BeryL,Jayce,DK Chasy,Nidalee,Shadow HamBak ,Irelia,Fisherr,Ashe,AF Le5,Braum,우주방패
5442203073,lose,Ranked Solo,2021-09-09 13:46:32,32m 22s,0,6,9,1.50:1,empty,empty,Thresh,Grandmaster,empty,Jayce,Big story,Nidalee,젠지 영재,Sett,BRO Yaharong,Ziggs,zszzz,Leona,Lehends,Camille,Burdoll,Diana,Liiv OnFleek,Sylas,Gen G Clid,Draven,BRO Hena,Thresh,DWG BeryL
